LogTime,Id,SessionId,BasePriority,StartTime,CommandLine,HandleCount,ThreadCount,TotalProcessorTime,UserProcessorTime,PrivateMemorySize,WorkingSet,MaxWorkingSet,PeakWorkingSet,VirtualMemorySize,PeakVirtualMemorySize
2017/04/26 02:51:57.956,9036,1,8,2017/04/26 02:47:27,C:\Projects\Bamss\Common\BAMSS\SelfDiagnostic\Tester\bin\Debug\Tester.vshost.exe,359,19,00:00:00.3744024,00:00:00.1560010,34967552,46874624,1413120,46874624,263315456,286535680
2017/04/26 02:52:02.960,9036,1,8,2017/04/26 02:47:27,C:\Projects\Bamss\Common\BAMSS\SelfDiagnostic\Tester\bin\Debug\Tester.vshost.exe,359,19,00:00:00.3744024,00:00:00.1560010,34967552,46862336,1413120,46874624,263315456,286535680
2017/04/26 02:52:07.964,9036,1,8,2017/04/26 02:47:27,C:\Projects\Bamss\Common\BAMSS\SelfDiagnostic\Tester\bin\Debug\Tester.vshost.exe,359,19,00:00:00.3744024,00:00:00.1560010,35098624,47026176,1413120,47026176,263315456,286535680
2017/04/26 02:52:12.967,9036,1,8,2017/04/26 02:47:27,C:\Projects\Bamss\Common\BAMSS\SelfDiagnostic\Tester\bin\Debug\Tester.vshost.exe,360,19,00:00:00.3744024,00:00:00.1560010,35164160,47058944,1413120,47058944,263315456,286535680
2017/04/26 02:52:17.969,9036,1,8,2017/04/26 02:47:27,C:\Projects\Bamss\Common\BAMSS\SelfDiagnostic\Tester\bin\Debug\Tester.vshost.exe,360,19,00:00:00.3744024,00:00:00.1560010,35164160,47058944,1413120,47058944,263315456,286535680
2017/04/26 02:52:22.972,9036,1,8,2017/04/26 02:47:27,C:\Projects\Bamss\Common\BAMSS\SelfDiagnostic\Tester\bin\Debug\Tester.vshost.exe,360,19,00:00:00.3744024,00:00:00.1560010,35164160,47058944,1413120,47058944,263315456,286535680
2017/04/26 02:52:27.975,9036,1,8,2017/04/26 02:47:27,C:\Projects\Bamss\Common\BAMSS\SelfDiagnostic\Tester\bin\Debug\Tester.vshost.exe,358,19,00:00:00.3744024,00:00:00.1560010,35164160,47058944,1413120,47058944,263315456,286535680
2017/04/26 02:52:32.977,9036,1,8,2017/04/26 02:47:27,C:\Projects\Bamss\Common\BAMSS\SelfDiagnostic\Tester\bin\Debug\Tester.vshost.exe,358,19,00:00:00.3744024,00:00:00.1560010,35164160,47058944,1413120,47058944,263315456,286535680
2017/04/26 02:54:40.069,12884,1,8,2017/04/26 02:54:39,C:\Projects\Bamss\Common\BAMSS\SelfDiagnostic\Tester\bin\Debug\Tester.exe,243,14,00:00:00.1248008,00:00:00.0468003,23052288,27906048,1413120,27906048,235913216,237342720
2017/04/26 02:54:45.079,12884,1,8,2017/04/26 02:54:39,C:\Projects\Bamss\Common\BAMSS\SelfDiagnostic\Tester\bin\Debug\Tester.exe,294,15,00:00:00.1560010,00:00:00.0624004,24158208,33206272,1413120,33206272,233721856,258445312
2017/04/26 02:54:50.082,12884,1,8,2017/04/26 02:54:39,C:\Projects\Bamss\Common\BAMSS\SelfDiagnostic\Tester\bin\Debug\Tester.exe,294,15,00:00:00.1560010,00:00:00.0624004,24551424,33574912,1413120,33574912,233721856,258445312
